element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
N,1,"=""""","=""7112.23""","=""""","=""5.59e+04""",C,"=""13.6936867""","=""13.8680121""","=""2s2.2p2.(3P).4d""","=""2D""","=""3/2""","=""2s2.2p2.(3P).5p""","=""2D*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""7142.16""","=""""","=""6.59e+05""",D+,"=""13.6291690""","=""13.8027638""","=""2s2.2p2.(3P).5s""","=""4P""","=""5/2""","=""2s2.2p2.(3P).5p""","=""4P*""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""7231.61""","=""""","=""5.91e+03""",C,"=""13.6965647""","=""13.8680121""","=""2s2.2p2.(3P).4d""","=""2D""","=""5/2""","=""2s2.2p2.(3P).5p""","=""2D*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""7305.1""","=""""","=""7.26e+05""",D+,"=""13.8244077""","=""13.994130""","=""2s2.2p2.(3P).5p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4P""","=""1/2""",,"=""T5723LS""","=""""",
N,1,"=""""","=""7358.44""","=""""","=""3.87e+05""",D+,"=""13.6291690""","=""13.7976614""","=""2s2.2p2.(3P).5s""","=""4P""","=""5/2""","=""2s2.2p2.(3P).5p""","=""4P*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""7391.39""","=""""","=""3.11e+05""",D+,"=""13.6149817""","=""13.7827230""","=""2s2.2p2.(3P).5s""","=""4P""","=""1/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""7421.17""","=""""","=""5.16e+05""",D+,"=""13.6204726""","=""13.7875408""","=""2s2.2p2.(3P).5s""","=""4P""","=""3/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""7481.4""","=""""","=""6.76e+05""",D+,"=""13.8244077""","=""13.990131""","=""2s2.2p2.(3P).5p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4P""","=""3/2""",,"=""T5723LS""","=""""",
N,1,"=""""","=""7495.06""","=""""","=""7.15e+05""",D+,"=""13.6291690""","=""13.7945902""","=""2s2.2p2.(3P).5s""","=""4P""","=""5/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""7/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""7511.26""","=""""","=""5.92e+05""",D+,"=""13.6149817""","=""13.7800461""","=""2s2.2p2.(3P).5s""","=""4P""","=""1/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""7558.06""","=""""","=""6.56e+05""",D+,"=""13.8244077""","=""13.9884501""","=""2s2.2p2.(3P).5p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4P""","=""5/2""",,"=""T5723LS""","=""""",
N,1,"=""""","=""7641.53""","=""""","=""3.60e+05""",D+,"=""13.6204726""","=""13.7827230""","=""2s2.2p2.(3P).5s""","=""4P""","=""3/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""7769.72""","=""""","=""1.07e+05""",D+,"=""13.6204726""","=""13.7800461""","=""2s2.2p2.(3P).5s""","=""4P""","=""3/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""7828.68""","=""""","=""1.88e+05""",D+,"=""13.6291690""","=""13.7875408""","=""2s2.2p2.(3P).5s""","=""4P""","=""5/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""8074.30""","=""""","=""2.86e+04""",D+,"=""13.6291690""","=""13.7827230""","=""2s2.2p2.(3P).5s""","=""4P""","=""5/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""8323.66""","=""""","=""4.04e+05""",D+,"=""13.6754539""","=""13.8244077""","=""2s2.2p2.(3P).4d""","=""4P""","=""5/2""","=""2s2.2p2.(3P).5p""","=""4S*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""8474.43""","=""""","=""9.93e+04""",D+,"=""13.8244077""","=""13.9707117""","=""2s2.2p2.(3P).5p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).6s""","=""4P""","=""5/2""",,"=""T5723LS""","=""""",
N,1,"=""""","=""8484.30""","=""""","=""2.55e+05""",D+,"=""13.6782741""","=""13.8244077""","=""2s2.2p2.(3P).4d""","=""4P""","=""3/2""","=""2s2.2p2.(3P).5p""","=""4S*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""8492.20""","=""""","=""8.82e+04""",D+,"=""13.6426905""","=""13.7886883""","=""2s2.2p2.(3P).5s""","=""2P""","=""1/2""","=""2s2.2p2.(3P).5p""","=""2P*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""8597.51""","=""""","=""3.40e+05""",D+,"=""13.6426905""","=""13.7869000""","=""2s2.2p2.(3P).5s""","=""2P""","=""1/2""","=""2s2.2p2.(3P).5p""","=""2P*""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""8685.43""","=""""","=""1.19e+05""",D+,"=""13.6816580""","=""13.8244077""","=""2s2.2p2.(3P).4d""","=""4P""","=""1/2""","=""2s2.2p2.(3P).5p""","=""4S*""","=""3/2""",,"=""u18,LS""","=""""",
N,2,"=""""","=""8909.4""","=""""","=""7.46e+03""",C+,"=""26.124123""","=""26.263284""","=""2s2.2p.4d""","=""3P*""","=""2""","=""2s.2p2.(4P).3s""","=""3P""","=""2""",,"=""T5520LS""","=""""",
N,1,"=""""","=""9013.58""","=""""","=""3.69e+05""",D+,"=""13.6511356""","=""13.7886883""","=""2s2.2p2.(3P).5s""","=""2P""","=""3/2""","=""2s2.2p2.(3P).5p""","=""2P*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""9023.28""","=""""","=""8.23e+04""",D+,"=""13.8244077""","=""13.9618125""","=""2s2.2p2.(3P).5p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).6s""","=""4P""","=""3/2""",,"=""T5723LS""","=""""",
N,1,"=""""","=""9132.30""","=""""","=""1.42e+05""",D+,"=""13.6511356""","=""13.7869000""","=""2s2.2p2.(3P).5s""","=""2P""","=""3/2""","=""2s2.2p2.(3P).5p""","=""2P*""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""9151.24""","=""""","=""1.02e+04""",C,"=""13.8680121""","=""14.0034956""","=""2s2.2p2.(3P).5p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""2D""","=""5/2""",,"=""u18,LS""","=""""",
N,2,"=""""","=""9291.6""","=""""","=""2.19e+03""",C+,"=""26.129847""","=""26.263284""","=""2s2.2p.4d""","=""3P*""","=""1""","=""2s.2p2.(4P).3s""","=""3P""","=""2""",,"=""T5520LS""","=""""",
N,2,"=""""","=""9309.3""","=""""","=""3.63e+03""",C+,"=""26.124123""","=""26.257305""","=""2s2.2p.4d""","=""3P*""","=""2""","=""2s.2p2.(4P).3s""","=""3P""","=""1""",,"=""T5520LS""","=""""",
N,1,"=""""","=""9311.04""","=""""","=""1.30e+05""",C,"=""13.8680121""","=""14.0011704""","=""2s2.2p2.(3P).5p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""2D""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""9397.60""","=""""","=""7.28e+04""",D+,"=""13.8244077""","=""13.9563396""","=""2s2.2p2.(3P).5p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).6s""","=""4P""","=""1/2""",,"=""T5723LS""","=""""",
N,1,"=""""","=""9537.64""","=""""","=""2.04e+03""",C,"=""13.6645956""","=""13.7945902""","=""2s2.2p2.(3P).4d""","=""4F""","=""5/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""7/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""9613.54""","=""""","=""1.23e+05""",C,"=""13.8745272""","=""14.0034956""","=""2s2.2p2.(3P).5p""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""2D""","=""5/2""",,"=""u18,LS""","=""""",
N,2,"=""""","=""9727.4""","=""""","=""1.91e+03""",C+,"=""26.129847""","=""26.257305""","=""2s2.2p.4d""","=""3P*""","=""1""","=""2s.2p2.(4P).3s""","=""3P""","=""1""",,"=""T5520LS""","=""""",
N,1,"=""""","=""9738.77""","=""""","=""3.72e+04""",D+,"=""13.6754539""","=""13.8027638""","=""2s2.2p2.(3P).4d""","=""4P""","=""5/2""","=""2s2.2p2.(3P).5p""","=""4P*""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""9754.34""","=""""","=""3.55e+04""",D+,"=""13.6426905""","=""13.7697973""","=""2s2.2p2.(3P).5s""","=""2P""","=""1/2""","=""2s2.2p2.(3P).5p""","=""2S*""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""9790.04""","=""""","=""1.25e+04""",C,"=""13.8745272""","=""14.0011704""","=""2s2.2p2.(3P).5p""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""2D""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""9865.97""","=""""","=""3.62e+04""",C,"=""13.6689216""","=""13.7945902""","=""2s2.2p2.(3P).4d""","=""4F""","=""7/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""7/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""9907.25""","=""""","=""3.34e+03""",C,"=""13.6623958""","=""13.7875408""","=""2s2.2p2.(3P).4d""","=""4F""","=""3/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""9959.40""","=""""","=""1.49e+04""",D+,"=""13.6782741""","=""13.8027638""","=""2s2.2p2.(3P).4d""","=""4P""","=""3/2""","=""2s2.2p2.(3P).5p""","=""4P*""","=""5/2""",,"=""u18,LS""","=""""",
N,2,"=""""","=""9970.1""","=""""","=""2.37e+03""",C+,"=""26.132949""","=""26.257305""","=""2s2.2p.4d""","=""3P*""","=""0""","=""2s.2p2.(4P).3s""","=""3P""","=""1""",,"=""T5520LS""","=""""",
N,2,"=""""","=""10020.8""","=""""","=""6.99e+03""",C+,"=""26.129847""","=""26.253573""","=""2s2.2p.4d""","=""3P*""","=""1""","=""2s.2p2.(4P).3s""","=""3P""","=""0""",,"=""T5520LS""","=""""",
N,1,"=""""","=""10068.83""","=""""","=""8.25e+02""",D+,"=""13.6655516""","=""13.7886883""","=""2s2.2p2.(3P).4d""","=""2P""","=""3/2""","=""2s2.2p2.(3P).5p""","=""2P*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""10084.51""","=""""","=""5.79e+04""",C,"=""13.6645956""","=""13.7875408""","=""2s2.2p2.(3P).4d""","=""4F""","=""5/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""10145.38""","=""""","=""2.12e+04""",D+,"=""13.6754539""","=""13.7976614""","=""2s2.2p2.(3P).4d""","=""4P""","=""5/2""","=""2s2.2p2.(3P).5p""","=""4P*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""10145.81""","=""""","=""4.52e+05""",C,"=""13.8745272""","=""13.9967297""","=""2s2.2p2.(3P).5p""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""2F""","=""7/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""10217.21""","=""""","=""3.16e+02""",D+,"=""13.6655516""","=""13.7869000""","=""2s2.2p2.(3P).4d""","=""2P""","=""3/2""","=""2s2.2p2.(3P).5p""","=""2P*""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""10303.92""","=""""","=""6.24e+04""",C,"=""13.6623958""","=""13.7827230""","=""2s2.2p2.(3P).4d""","=""4F""","=""3/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""10329.64""","=""""","=""1.53e+02""",D+,"=""13.6686606""","=""13.7886883""","=""2s2.2p2.(3P).4d""","=""2P""","=""1/2""","=""2s2.2p2.(3P).5p""","=""2P*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""10385.05""","=""""","=""5.85e+03""",D+,"=""13.6782741""","=""13.7976614""","=""2s2.2p2.(3P).4d""","=""4P""","=""3/2""","=""2s2.2p2.(3P).5p""","=""4P*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""10406.92""","=""""","=""2.24e+04""",D+,"=""13.6754539""","=""13.7945902""","=""2s2.2p2.(3P).4d""","=""4P""","=""5/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""7/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""10422.56""","=""""","=""3.89e+05""",C,"=""13.8680121""","=""13.9869696""","=""2s2.2p2.(3P).5p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""2F""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""10442.34""","=""""","=""2.68e+05""",C,"=""13.6758579""","=""13.7945902""","=""2s2.2p2.(3P).4d""","=""4F""","=""9/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""7/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""10448.55""","=""""","=""5.77e+04""",D+,"=""13.6511356""","=""13.7697973""","=""2s2.2p2.(3P).5s""","=""2P""","=""3/2""","=""2s2.2p2.(3P).5p""","=""2S*""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""10452.29""","=""""","=""2.44e+05""",C,"=""13.6689216""","=""13.7875408""","=""2s2.2p2.(3P).4d""","=""4F""","=""7/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""10476.62""","=""""","=""1.50e+05""",D+,"=""13.8680121""","=""13.9863558""","=""2s2.2p2.(3P).5p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""2P""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""10485.86""","=""""","=""5.85e+02""",D+,"=""13.6686606""","=""13.7869000""","=""2s2.2p2.(3P).4d""","=""2P""","=""1/2""","=""2s2.2p2.(3P).5p""","=""2P*""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""10495.80""","=""""","=""2.37e+05""",C,"=""13.6645956""","=""13.7827230""","=""2s2.2p2.(3P).4d""","=""4F""","=""5/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""10538.37""","=""""","=""2.92e+05""",C,"=""13.6623958""","=""13.7800461""","=""2s2.2p2.(3P).4d""","=""4F""","=""3/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""10538.80""","=""""","=""3.50e+04""",D+,"=""13.6782741""","=""13.7959196""","=""2s2.2p2.(3P).4d""","=""4P""","=""3/2""","=""2s2.2p2.(3P).5p""","=""4P*""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""10548.86""","=""""","=""1.47e+04""",D+,"=""13.8680121""","=""13.9855454""","=""2s2.2p2.(3P).5p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""2P""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""10687.99""","=""""","=""1.68e+04""",D+,"=""13.6816580""","=""13.7976614""","=""2s2.2p2.(3P).4d""","=""4P""","=""1/2""","=""2s2.2p2.(3P).5p""","=""4P*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""10737.27""","=""""","=""5.13e+03""",C,"=""13.6872930""","=""13.8027638""","=""2s2.2p2.(3P).4d""","=""4D""","=""3/2""","=""2s2.2p2.(3P).5p""","=""4P*""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""10805.65""","=""""","=""4.53e+04""",C,"=""13.6880236""","=""13.8027638""","=""2s2.2p2.(3P).4d""","=""4D""","=""5/2""","=""2s2.2p2.(3P).5p""","=""4P*""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""10827.46""","=""""","=""2.00e+05""",C,"=""13.6882547""","=""13.8027638""","=""2s2.2p2.(3P).4d""","=""4D""","=""7/2""","=""2s2.2p2.(3P).5p""","=""4P*""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""10850.91""","=""""","=""6.41e+03""",D+,"=""13.6816580""","=""13.7959196""","=""2s2.2p2.(3P).4d""","=""4P""","=""1/2""","=""2s2.2p2.(3P).5p""","=""4P*""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""11026.46""","=""""","=""2.35e+04""",C,"=""13.8745272""","=""13.9869696""","=""2s2.2p2.(3P).5p""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""2F""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""11061.43""","=""""","=""5.58e+03""",D+,"=""13.6754539""","=""13.7875408""","=""2s2.2p2.(3P).4d""","=""4P""","=""5/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""11112.98""","=""""","=""1.16e+04""",C,"=""13.6860943""","=""13.7976614""","=""2s2.2p2.(3P).4d""","=""4D""","=""1/2""","=""2s2.2p2.(3P).5p""","=""4P*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""11167.92""","=""""","=""1.11e+05""",D+,"=""13.8745272""","=""13.9855454""","=""2s2.2p2.(3P).5p""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""2P""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""11233.67""","=""""","=""7.17e+04""",C,"=""13.6872930""","=""13.7976614""","=""2s2.2p2.(3P).4d""","=""4D""","=""3/2""","=""2s2.2p2.(3P).5p""","=""4P*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""11289.22""","=""""","=""1.10e+05""",C,"=""13.6860943""","=""13.7959196""","=""2s2.2p2.(3P).4d""","=""4D""","=""1/2""","=""2s2.2p2.(3P).5p""","=""4P*""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""11308.53""","=""""","=""1.38e+05""",C,"=""13.6880236""","=""13.7976614""","=""2s2.2p2.(3P).4d""","=""4D""","=""5/2""","=""2s2.2p2.(3P).5p""","=""4P*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""11346.94""","=""""","=""1.21e+04""",D+,"=""13.6782741""","=""13.7875408""","=""2s2.2p2.(3P).4d""","=""4P""","=""3/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""11413.79""","=""""","=""1.07e+05""",C,"=""13.6872930""","=""13.7959196""","=""2s2.2p2.(3P).4d""","=""4D""","=""3/2""","=""2s2.2p2.(3P).5p""","=""4P*""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""11558.24""","=""""","=""8.16e+02""",D+,"=""13.6754539""","=""13.7827230""","=""2s2.2p2.(3P).4d""","=""4P""","=""5/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""11634.44""","=""""","=""6.10e+03""",C,"=""13.6880236""","=""13.7945902""","=""2s2.2p2.(3P).4d""","=""4D""","=""5/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""7/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""11659.73""","=""""","=""3.65e+04""",C,"=""13.6882547""","=""13.7945902""","=""2s2.2p2.(3P).4d""","=""4D""","=""7/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""7/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""11870.32""","=""""","=""8.03e+03""",D+,"=""13.6782741""","=""13.7827230""","=""2s2.2p2.(3P).4d""","=""4P""","=""3/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""11893.46""","=""""","=""2.89e+05""",D+,"=""13.6655516""","=""13.7697973""","=""2s2.2p2.(3P).4d""","=""2P""","=""3/2""","=""2s2.2p2.(3P).5p""","=""2S*""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""12182.55""","=""""","=""2.32e+03""",D+,"=""13.6782741""","=""13.7800461""","=""2s2.2p2.(3P).4d""","=""4P""","=""3/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""12259.08""","=""""","=""1.32e+05""",D+,"=""13.6686606""","=""13.7697973""","=""2s2.2p2.(3P).4d""","=""2P""","=""1/2""","=""2s2.2p2.(3P).5p""","=""2S*""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""12267.77""","=""""","=""5.69e+03""",D+,"=""13.6816580""","=""13.7827230""","=""2s2.2p2.(3P).4d""","=""4P""","=""1/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""12367.77""","=""""","=""8.32e+03""",C,"=""13.6872930""","=""13.7875408""","=""2s2.2p2.(3P).4d""","=""4D""","=""3/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""12458.58""","=""""","=""2.00e+04""",C,"=""13.6880236""","=""13.7875408""","=""2s2.2p2.(3P).4d""","=""4D""","=""5/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""12487.57""","=""""","=""6.58e+03""",C,"=""13.6882547""","=""13.7875408""","=""2s2.2p2.(3P).4d""","=""4D""","=""7/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""12601.55""","=""""","=""1.05e+04""",D+,"=""13.6816580""","=""13.7800461""","=""2s2.2p2.(3P).4d""","=""4P""","=""1/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""12830.99""","=""""","=""7.98e+03""",C,"=""13.6860943""","=""13.7827230""","=""2s2.2p2.(3P).4d""","=""4D""","=""1/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""12992.16""","=""""","=""1.23e+04""",C,"=""13.6872930""","=""13.7827230""","=""2s2.2p2.(3P).4d""","=""4D""","=""3/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""13050.76""","=""""","=""1.18e+04""",C,"=""13.6936867""","=""13.7886883""","=""2s2.2p2.(3P).4d""","=""2D""","=""3/2""","=""2s2.2p2.(3P).5p""","=""2P*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""13092.40""","=""""","=""1.05e+04""",C,"=""13.6880236""","=""13.7827230""","=""2s2.2p2.(3P).4d""","=""4D""","=""5/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""13196.58""","=""""","=""1.47e+04""",C,"=""13.6860943""","=""13.7800461""","=""2s2.2p2.(3P).4d""","=""4D""","=""1/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""13301.13""","=""""","=""1.11e+05""",C,"=""13.6936867""","=""13.7869000""","=""2s2.2p2.(3P).4d""","=""2D""","=""3/2""","=""2s2.2p2.(3P).5p""","=""2P*""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""13367.13""","=""""","=""1.41e+04""",C,"=""13.6872930""","=""13.7800461""","=""2s2.2p2.(3P).4d""","=""4D""","=""3/2""","=""2s2.2p2.(3P).5p""","=""4D*""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""13458.46""","=""""","=""9.66e+04""",C,"=""13.6965647""","=""13.7886883""","=""2s2.2p2.(3P).4d""","=""2D""","=""5/2""","=""2s2.2p2.(3P).5p""","=""2P*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""15796.59""","=""""","=""6.06e+04""",C,"=""13.9226824""","=""14.0011704""","=""2s2.2p2.(1D).3p""","=""2P*""","=""1/2""","=""2s2.2p2.(3P).5d""","=""2D""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""15974.34""","=""""","=""7.03e+04""",C,"=""13.9258810""","=""14.0034956""","=""2s2.2p2.(1D).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""2D""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""16467.68""","=""""","=""1.07e+04""",C,"=""13.9258810""","=""14.0011704""","=""2s2.2p2.(1D).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""2D""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""19471.9""","=""""","=""8.99e+02""",D+,"=""13.9226824""","=""13.9863558""","=""2s2.2p2.(1D).3p""","=""2P*""","=""1/2""","=""2s2.2p2.(3P).5d""","=""2P""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""19722.9""","=""""","=""2.16e+02""",D+,"=""13.9226824""","=""13.9855454""","=""2s2.2p2.(1D).3p""","=""2P*""","=""1/2""","=""2s2.2p2.(3P).5d""","=""2P""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""20501.8""","=""""","=""3.85e+02""",D+,"=""13.9258810""","=""13.9863558""","=""2s2.2p2.(1D).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""2P""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""20604.5""","=""""","=""1.37e+04""",D+,"=""13.6426905""","=""13.7028638""","=""2s2.2p2.(3P).5s""","=""2P""","=""1/2""","=""2s2.2p2.(1D).3p""","=""2D*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""20780.3""","=""""","=""9.24e+02""",D+,"=""13.9258810""","=""13.9855454""","=""2s2.2p2.(1D).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""2P""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""22674.9""","=""""","=""1.24e+04""",D+,"=""13.6511356""","=""13.7058146""","=""2s2.2p2.(3P).5s""","=""2P""","=""3/2""","=""2s2.2p2.(1D).3p""","=""2D*""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""23968.4""","=""""","=""1.74e+03""",D+,"=""13.6511356""","=""13.7028638""","=""2s2.2p2.(3P).5s""","=""2P""","=""3/2""","=""2s2.2p2.(1D).3p""","=""2D*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""30793.6""","=""""","=""1.66e+03""",D+,"=""13.6655516""","=""13.7058146""","=""2s2.2p2.(3P).4d""","=""2P""","=""3/2""","=""2s2.2p2.(1D).3p""","=""2D*""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""33228.9""","=""""","=""2.21e+02""",D+,"=""13.6655516""","=""13.7028638""","=""2s2.2p2.(3P).4d""","=""2P""","=""3/2""","=""2s2.2p2.(1D).3p""","=""2D*""","=""3/2""",,"=""u18,LS""","=""""",
